,productType,year,profit
666,주식형,2022,-1.6
667,부동산,2022,-20.85
668,파생상품,2022,-22.98
669,주식형,2022,-41.04
670,혼합채권형,2022,-9.51
671,재간접,2022,-39.08
672,재간접,2022,-13.86
673,주식형,2022,-12.97
674,재간접,2022,-42.86
675,파생상품,2022,-13.9
676,재간접,2022,-4.45
677,주식형,2022,-36.27
678,혼합주식형,2022,-29.3
679,주식형,2022,-62.08
680,재간접,2022,-19.41
681,재간접,2022,-27.78
682,재간접,2022,-16.16
683,재간접,2022,-26.58
684,채권형,2022,1.2
685,혼합채권형,2022,-1.71
686,단기금융,2022,1.65
687,주식형,2022,-31.85
688,혼합자산,2022,-27.65
689,재간접,2022,-27.92
690,주식형,2022,-28.9
691,재간접,2022,-21.1
692,재간접,2022,-16.42
693,주식형,2022,-32.64
694,재간접,2022,-33.46
695,주식형,2022,-44.72
696,주식형,2022,-8.22
697,혼합자산,2022,-11.73
698,주식형,2022,-183.43
699,혼합주식형,2022,3.65
700,재간접,2022,-15.69
701,재간접,2022,-129.69
702,재간접,2022,-20.22
703,재간접,2022,6.11
704,재간접,2022,-212.49
705,주식형,2022,-56.45
706,재간접,2022,-13.17
707,재간접,2022,-25.64
708,주식형,2022,-51.15
709,재간접,2022,-27.76
710,채권형,2022,-8.52
711,파생상품,2022,-38.51
712,주식형,2022,-7.34
713,주식형,2022,7.44
714,재간접,2022,-7.22
715,주식형,2022,-33.23
716,혼합주식형,2022,-4.97
717,재간접,2022,-345.95
718,채권형,2022,-11.39
719,채권형,2022,-12.64
720,재간접,2022,-43.05
721,채권형,2022,0.18
722,재간접,2022,3.84
723,재간접,2022,-35.3
724,재간접,2022,7.11
725,재간접,2022,-1.03
726,주식형,2022,-32.61
727,재간접,2022,-17.35
728,주식형,2022,-9.4
729,부동산,2022,-9.14
730,혼합주식형,2022,-23.23
731,주식형,2022,-34.42
732,주식형,2022,-24.3
733,단기금융,2022,1.32
734,재간접,2022,-7.66
735,주식형,2022,-9.71
736,주식형,2022,-45.29
737,재간접,2022,-6.74
738,파생상품,2022,-27.41
739,주식형,2022,-13.68
740,주식형,2022,-28.58
741,주식형,2022,-12.75
742,혼합자산,2022,-21.8
743,재간접,2022,-21.11
744,혼합자산,2022,-8.1
745,부동산,2022,-8.02
746,재간접,2022,-4.79
747,주식형,2022,-43.47
748,주식형,2022,-47.67
749,주식형,2022,-23.18
750,혼합채권형,2022,-1.01
751,재간접,2022,-21.44
752,채권형,2022,0.62
753,재간접,2022,-11.64
754,재간접,2022,-28.47
755,재간접,2022,-13.78
756,재간접,2022,-15.23
757,파생상품,2022,-40.98
758,주식형,2022,-32.17
759,특별자산,2022,-1.43
760,재간접,2022,-39.39
761,파생상품,2022,-29.78
762,파생상품,2022,-40.59
763,채권형,2022,-2.38
764,주식형,2022,-14.42
765,재간접,2022,-10.98
766,혼합주식형,2022,-46.67
767,채권형,2022,-14.31
768,재간접,2022,-31.32
769,재간접,2022,-14.67
770,재간접,2022,-9.95
771,재간접,2022,-12.5
772,주식형,2022,-24.57
773,재간접,2022,-6.47
774,주식형,2022,-32.02
775,재간접,2022,-2.89
776,재간접,2022,-23.25
777,재간접,2022,-14.29
778,주식형,2022,-39.38
779,재간접,2022,2.73
780,단기금융,2022,1.39
781,주식형,2022,-66.15
782,파생상품,2022,-48.42
783,주식형,2022,-21.07
784,주식형,2022,-13.42
785,재간접,2022,-19.35
786,혼합주식형,2022,-28.61
787,재간접,2022,-9.29
788,파생상품,2022,-19.5
789,재간접,2022,-20.2
790,주식형,2022,-59.33
791,주식형,2022,-52.66
792,주식형,2022,-55.28
793,혼합채권형,2022,-4.91
794,채권형,2022,-4.32
795,혼합자산,2022,-28.15
796,재간접,2022,-13.32
797,재간접,2022,9.19
798,주식형,2022,-29.19
799,채권형,2022,-10.21
800,혼합채권형,2022,-9.09
801,주식형,2022,-40.77
802,채권형,2022,0.44
803,재간접,2022,-14.87
804,채권형,2022,13.41
805,파생상품,2022,-20.86
806,주식형,2022,-40.04
807,재간접,2022,-16.37
808,주식형,2022,-23.46
809,주식형,2022,-37.0
810,특별자산,2022,7.95
811,주식형,2022,-39.91
812,재간접,2022,-16.79
813,주식형,2022,-33.56
814,특별자산,2022,10.16
815,재간접,2022,3.32
816,재간접,2022,-16.92
817,채권형,2022,10.31
818,주식형,2022,-32.41
819,재간접,2022,-12.74
820,주식형,2022,-29.26
821,채권형,2022,-7.09
822,주식형,2022,-40.02
823,재간접,2022,-36.41
824,주식형,2022,-35.71
825,주식형,2022,-36.49
826,주식형,2022,-27.0
827,주식형,2022,-12.97
828,재간접,2022,-24.19
829,주식형,2022,-31.66
830,재간접,2022,-22.38
831,채권형,2022,1.19
832,주식형,2022,-34.69
833,재간접,2022,-21.17
834,재간접,2022,-30.52
835,재간접,2022,-12.75
836,혼합채권형,2022,-16.62
837,혼합채권형,2022,-11.33
838,주식형,2022,-36.3
839,재간접,2022,-45.57
840,재간접,2022,-4.51
841,재간접,2022,-19.3
842,주식형,2022,-41.59
843,재간접,2022,-17.18
844,재간접,2022,-28.5
845,주식형,2022,-51.61
846,채권형,2022,-9.28
847,재간접,2022,-14.32
848,재간접,2022,-3.48
849,재간접,2022,-52.6
850,주식형,2022,-32.53
851,주식형,2022,-46.75
852,재간접,2022,-1.05
853,재간접,2022,-36.58
854,주식형,2022,-26.45
855,부동산,2022,-4.41
856,재간접,2022,-19.02
857,주식형,2022,-62.58
858,재간접,2022,-13.17
859,주식형,2022,-36.57
860,재간접,2022,-45.78
861,재간접,2022,-14.84
862,주식형,2022,-24.08
863,주식형,2022,-41.34
864,재간접,2022,-18.28
865,주식형,2022,-29.94
866,혼합채권형,2022,-11.31
867,주식형,2022,-29.7
868,재간접,2022,-19.66
869,주식형,2022,-30.87
870,주식형,2022,-42.59
871,재간접,2022,-23.22
872,재간접,2022,-9.16
873,채권형,2022,10.06
874,재간접,2022,-21.81
875,주식형,2022,-14.11
876,주식형,2022,-46.27
877,주식형,2022,-34.5
878,혼합채권형,2022,-11.06
879,주식형,2022,22.81
880,채권형,2022,-12.94
881,단기금융,2022,1.52
882,파생상품,2022,-48.15
883,파생상품,2022,-44.04
884,부동산,2022,-22.51
885,주식형,2022,-38.75
886,채권형,2022,1.28
887,재간접,2022,-31.11
888,재간접,2022,-22.83
889,주식형,2022,5.89
890,재간접,2022,1.56
891,주식형,2022,-34.94
892,재간접,2022,-10.56
893,주식형,2022,-94.23
894,주식형,2022,-4.26
895,재간접,2022,-21.02
896,재간접,2022,-15.84
897,재간접,2022,-30.38
898,재간접,2022,-5.33
899,주식형,2022,-9.13
900,주식형,2022,-1.67
901,혼합채권형,2022,-9.09
902,채권형,2022,-0.29
903,주식형,2022,-31.09
904,주식형,2022,-27.22
905,혼합주식형,2022,4.68
906,주식형,2022,-1.78
907,주식형,2022,-39.04
908,주식형,2022,-29.95
909,주식형,2022,-50.19
910,주식형,2022,-36.14
911,재간접,2022,-18.39
912,주식형,2022,-44.94
913,재간접,2022,-13.42
914,재간접,2022,-21.01
915,파생상품,2022,-22.32
916,혼합채권형,2022,-6.92
917,파생상품,2022,-28.5
918,재간접,2022,-75.45
919,주식형,2022,-9.99
920,혼합채권형,2022,-11.77
921,재간접,2022,-11.97
922,주식형,2022,-26.44
923,재간접,2022,-23.5
924,재간접,2022,-28.23
925,재간접,2022,-27.18
926,재간접,2022,-112.33
927,주식형,2022,-25.77
928,재간접,2022,-35.04
929,주식형,2022,-47.22
930,주식형,2022,-23.79
931,주식형,2022,-35.73
932,재간접,2022,-28.0
933,재간접,2022,-26.71
934,파생상품,2022,-18.34
935,파생상품,2022,-44.97
936,파생상품,2022,-29.75
937,재간접,2022,-6.09
938,주식형,2022,-22.72
939,재간접,2022,-17.2
940,재간접,2022,-15.31
941,재간접,2022,-29.08
942,단기금융,2022,1.4
943,주식형,2022,-44.1
944,주식형,2022,-40.15
945,재간접,2022,-20.2
946,주식형,2022,-25.68
947,혼합채권형,2022,8.83
948,재간접,2022,-22.55
949,부동산,2022,-31.99
950,재간접,2022,-51.28
951,주식형,2022,-44.54
952,재간접,2022,-15.57
953,재간접,2022,-19.8
954,재간접,2022,-17.06
955,혼합채권형,2022,-2.27
956,재간접,2022,-37.36
957,혼합채권형,2022,-6.78
958,재간접,2022,-42.74
959,재간접,2022,-19.86
960,주식형,2022,-15.33
961,주식형,2022,-38.86
962,재간접,2022,-21.29
963,재간접,2022,-14.46
964,재간접,2022,-0.91
965,채권형,2022,-4.75
966,주식형,2022,-26.18
967,주식형,2022,8.83
968,혼합채권형,2022,-6.58
969,재간접,2022,-20.01
970,주식형,2022,-7.64
971,재간접,2022,-27.55
972,재간접,2022,-0.22
973,혼합채권형,2022,-14.78
974,채권형,2022,-0.84
975,주식형,2022,-44.37
